"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Africa +","31","Area Harvested","2007","Ha","62426.00000","A "
"Africa +","31","Area Harvested","2006","Ha","59938.00000","A "
"Africa +","31","Area Harvested","2005","Ha","60691.00000","A "
"Africa +","31","Area Harvested","2004","Ha","60225.00000","A "
"Africa +","31","Area Harvested","2003","Ha","61952.00000","A "
"Africa +","31","Area Harvested","2002","Ha","61532.00000","A "
"Africa +","31","Area Harvested","2001","Ha","57153.00000","A "
"Africa +","31","Area Harvested","2000","Ha","58976.00000","A "
"Africa +","31","Area Harvested","1999","Ha","45272.00000","A "
"Africa +","31","Area Harvested","1998","Ha","42248.00000","A "
"Africa +","31","Area Harvested","1997","Ha","36016.00000","A "
"Africa +","31","Area Harvested","1996","Ha","36270.00000","A "
"Africa +","31","Area Harvested","1995","Ha","37638.00000","A "
"Africa +","31","Area Harvested","1994","Ha","39002.00000","A "
"Africa +","31","Area Harvested","1993","Ha","34334.00000","A "
"Africa +","31","Area Harvested","1992","Ha","32226.00000","A "
"Africa +","31","Area Harvested","1991","Ha","33537.00000","A "
"Africa +","31","Area Harvested","1990","Ha","32159.00000","A "
"Africa +","31","Area Harvested","1989","Ha","32400.00000","A "
"Africa +","31","Area Harvested","1988","Ha","30730.00000","A "
"Africa +","31","Area Harvested","1987","Ha","30020.00000","A "
"Africa +","31","Area Harvested","1986","Ha","29130.00000","A "
"Africa +","31","Area Harvested","1985","Ha","27810.00000","A "
"Africa +","31","Area Harvested","1984","Ha","26510.00000","A "
"Africa +","31","Area Harvested","1983","Ha","26185.00000","A "
"Africa +","31","Area Harvested","1982","Ha","25765.00000","A "
"Africa +","31","Area Harvested","1981","Ha","25320.00000","A "
"Africa +","31","Area Harvested","1980","Ha","25035.00000","A "
"Africa +","31","Area Harvested","1979","Ha","24625.00000","A "
"Africa +","31","Area Harvested","1978","Ha","25115.00000","A "
"Africa +","31","Area Harvested","1977","Ha","23935.00000","A "
"Africa +","31","Area Harvested","1976","Ha","21190.00000","A "
"Africa +","31","Area Harvested","1975","Ha","20640.00000","A "
"Africa +","31","Area Harvested","1974","Ha","19960.00000","A "
"Africa +","31","Area Harvested","1973","Ha","18745.00000","A "
"Africa +","31","Area Harvested","1972","Ha","17920.00000","A "
"Africa +","31","Area Harvested","1971","Ha","17090.00000","A "
"Africa +","31","Area Harvested","1970","Ha","16750.00000","A "
"Africa +","31","Area Harvested","1969","Ha","16400.00000","A "
"Africa +","31","Area Harvested","1968","Ha","15250.00000","A "
"Africa +","31","Area Harvested","1967","Ha","14450.00000","A "
"Africa +","31","Area Harvested","1966","Ha","14050.00000","A "
"Africa +","31","Area Harvested","1965","Ha","13800.00000","A "
"Africa +","31","Area Harvested","1964","Ha","12650.00000","A "
"Africa +","31","Area Harvested","1963","Ha","12750.00000","A "
"Africa +","31","Area Harvested","1962","Ha","12750.00000","A "
"Africa +","31","Area Harvested","1961","Ha","12550.00000","A "
"Africa +","41","Yield","2007","Hg/Ha","66987.00000","A "
"Africa +","41","Yield","2006","Hg/Ha","67392.00000","A "
"Africa +","41","Yield","2005","Hg/Ha","72871.00000","A "
"Africa +","41","Yield","2004","Hg/Ha","64313.00000","A "
