ST,NP,BDSP,BLD,RMSP,TEN,VEH,YBL,FINCP,FPARC,HHL,MV,NOC
17,01,03,02,06,2,1,05,,,1,7,00
32,04,04,02,07,3,1,07,000028000,3,1,6,00
19,01,,,,,,,,,,,
48,02,03,02,06,2,2,03,000066000,4,1,5,00
48,01,03,02,06,2,1,03,,,2,7,00
48,00,03,02,08,,,05,,,,,
55,02,03,01,05,2,1,07,000039000,4,1,5,00
12,01,02,02,06,1,1,03,,,2,4,00
05,02,03,02,07,2,2,04,000094600,4,1,7,00
06,00,02,09,04,,,06,,,,,
48,01,,,,,,,,,,,
21,01,,,,,,,,,,,
48,05,04,02,09,1,2,08,000096000,2,1,4,03
17,05,03,02,06,1,3,07,000088100,2,1,5,02
47,01,00,02,02,2,2,10,,,1,3,00
48,00,03,01,05,,,07,,,,,
42,01,,,,,,,,,,,
13,02,04,02,08,1,3,09,000050000,4,1,4,00
06,05,03,02,06,1,2,03,000255000,2,1,5,03
36,02,02,07,04,3,2,05,000063900,4,1,4,00
39,01,02,02,07,2,1,04,,,1,5,00
51,02,03,03,08,3,1,09,000078000,2,1,3,01
19,01,,,,,,,,,,,
01,02,03,01,04,3,0,07,000008100,4,1,5,00
32,00,03,02,05,,,05,,,,,
23,02,04,02,07,1,3,05,000176000,4,1,4,00
51,02,03,02,08,1,4,06,000122000,4,1,5,00
18,01,,,,,,,,,,,
24,04,05,02,10,1,3,07,000218000,3,1,4,02
40,03,03,02,05,1,2,06,000240000,2,1,5,01
36,02,03,02,07,2,2,03,000261880,4,1,7,00
50,02,03,01,04,2,1,06,000012000,4,1,5,00
13,03,03,02,06,3,2,03,000164000,2,1,3,01
22,02,02,02,06,1,2,02,000071200,4,1,5,00
39,03,03,02,08,1,4,05,000090000,2,1,5,01
29,05,03,02,05,1,2,05,000017000,2,1,4,03
19,02,03,02,05,2,3,07,000059500,4,1,5,00
26,00,02,08,04,,,05,,,,,
48,03,02,06,03,3,2,01,000060000,4,2,4,00
47,03,03,02,07,3,1,10,000028100,4,1,3,00
13,01,01,08,04,3,1,07,,,1,3,00
26,02,02,02,04,2,3,01,000057000,4,1,5,00
12,01,,,,,,,,,,,
08,04,03,06,05,3,1,08,000047000,2,1,4,03
47,04,03,02,06,2,2,04,000026500,1,1,7,00
